id;exercise_id;name;description;video_url;number_of_points_to_passed;img;max_points;number_of_attempts;number_of_strokes_in_one_attempt;is_white;is_red;is_yellow;is_green;is_brown;is_blue;is_pink;is_black;is_button_pass;is_bonus_point;bonus_info;bonus_number_of_points;level;length
40;e109;Straight the colors;...;762985625;27;e109.png;27;1;6;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;...;0;RED;900
41;e305;White-black cushion;...;762985700;8;e305.png;10;10;1;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;...;0;GREEN;600
42;e110;Simple rest;...;762985747;6;e110.png;6;6;1;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;...;0;RED;600
43;e404;Two gates of home;...;762985804;60;e404.png;60;4;1;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;The white ball is in the gate?;10;BROWN;1200
44;e306;The black;...;762985850;35;e306.png;70;1;10;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;...;0;GREEN;1200
45;e212;Clear from the blue;...;762985900;18;e212.png;18;1;3;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;...;0;YELLOW;900
46;e405;Colours same pocket;...;762985936;27;e405.png;27;1;6;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;...;0;BROWN;1200
47;e502;Black level of control;...;762985975;68;e502.png;68;4;1;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;The white ball is in the gate?;10;BLUE;1200
48;e406;Cleaning the colors;...;762986017;27;e406.png;27;1;6;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;...;0;BROWN;1200
49;e013;Pots along cushion;...;762986079;10;e013.png;10;10;1;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;...;0;WHITE;600
50;e505;Yellow-green-brown;...;763151259;56;e505.png;90;1;30;TRUE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;...;0;BLUE;1200
51;e503;Black between reds;...;763151325;80;e503.png;80;1;20;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;...;0;BLUE;1200
52;e014;The reds top cushion;...;763151376;5;e014.png;5;1;5;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;...;0;WHITE;900
53;e504;The black;...;762985850;70;e504.png;70;1;10;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;...;0;BLUE;1200
